Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
845,Luke Williams,26,TOT,NL,7,12,12,1,1,0,0,0,0,1,0,0,4,.083,.083,.083,.167,-55,1,0,0,0,0,0,/H6D71,willilu01
846,Luke Williams,26,LAD,NL,4,10,10,0,1,0,0,0,0,1,0,0,3,.100,.100,.100,.200,-45,1,0,0,0,0,0,/61H,willilu01
847,Luke Williams,26,ATL,NL,3,2,2,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/HD7,willilu01
848,Weston Wilson,28,PHI,NL,5,12,6,3,2,0,0,1,1,1,1,6,1,.333,.667,.833,1.500,308,5,0,0,0,0,0,/7H9,wilsowe01
849,Jesse Winker*,29,MIL,NL,61,197,166,16,33,5,0,1,23,0,0,26,51,.199,.320,.247,.567,59,41,0,4,0,1,0,DH/97,winkeje01
850,Masyn Winn,21,STL,NL,24,89,81,7,14,2,0,1,5,2,1,5,15,.173,.218,.235,.453,25,19,1,0,2,1,0,6,winnma01
851,Patrick Wisdom,31,CHC,NL,89,280,247,40,50,7,1,21,41,4,2,29,102,.202,.290,.494,.784,107,122,4,2,1,1,0,5H3D/79,wisdopa01
852,Brett Wisely*,24,SFG,NL,51,131,120,10,21,5,0,2,8,2,1,9,40,.175,.231,.267,.497,37,32,2,0,1,1,0,48/H716,wiselbr01
853,Bobby Witt,23,KCR,AL,145,637,589,86,165,27,8,29,90,47,10,36,112,.280,.322,.501,.823,122,295,8,4,1,7,1,*6D/H,wittbo02
854,Nick Wittgren,32,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,wittgni01
855,Connor Wong,27,BOS,AL,115,372,343,54,84,24,2,9,36,6,2,22,119,.245,.299,.405,.704,88,139,3,5,1,1,0,*2/H4D,wongco01
856,Kolten Wong*,32,TOT,MLB,77,231,207,23,35,6,0,4,25,3,2,17,49,.169,.242,.256,.498,40,53,1,4,0,3,0,4H/D,wongko01
857,Kolten Wong*,32,SEA,AL,67,216,194,21,32,6,0,2,19,1,1,16,46,.165,.241,.227,.468,33,44,0,4,0,2,0,4/H,wongko01
858,Kolten Wong*,32,LAD,NL,10,15,13,2,3,0,0,2,6,2,1,1,3,.231,.267,.692,.959,147,9,1,0,0,1,0,/H4D,wongko01
859,Austin Wynns,32,TOT,NL,44,123,108,9,23,5,0,1,9,1,0,9,34,.213,.283,.287,.570,50,31,4,2,3,1,0,2/H,wynnsau01
860,Austin Wynns,32,SFG,NL,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2,wynnsau01
861,Austin Wynns,32,LAD,NL,5,12,11,0,2,1,0,0,2,0,0,1,5,.182,.250,.273,.523,42,3,0,0,0,0,0,/2,wynnsau01
862,Austin Wynns,32,COL,NL,38,109,95,9,21,4,0,1,7,1,0,8,27,.221,.292,.295,.587,54,28,4,2,3,1,0,2/H,wynnsau01
863,Ryan Yarbrough,31,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,yarbrry01
864,Ryan Yarbrough,31,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,yarbrry01
865,Mike Yastrzemski*,32,SFG,NL,93,339,300,51,74,22,1,14,40,1,2,36,88,.247,.329,.467,.796,117,140,3,1,2,0,3,987/HD,yastrmi01
866,Christian Yelich*,31,MIL,NL,137,601,525,98,143,31,1,17,70,27,3,72,133,.272,.363,.432,.795,117,227,14,3,0,1,7,*7D/H,yelicch01
867,Juan Yepez,25,STL,NL,20,46,42,5,9,1,0,2,2,0,1,3,13,.214,.283,.381,.664,80,16,0,1,0,0,0,/7DH9,yepezju01
868,Masataka Yoshida*,29,BOS,AL,129,543,500,69,143,29,3,15,68,8,0,34,74,.286,.339,.446,.785,109,223,20,7,0,2,0,7D/H,yoshima02
869,Alex Young*,29,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,youngal01
870,Jacob Young,23,WSN,NL,20,72,64,6,15,5,0,0,5,6,0,5,14,.234,.290,.313,.602,68,20,2,0,3,0,0,8/DH,youngja03
871,Jared Young*,27,CHC,NL,13,39,35,7,6,0,2,1,5,2,0,3,11,.171,.256,.371,.628,67,13,1,1,0,0,0,3/DH,youngja02
872,Seby Zavala,29,TOT,MLB,71,188,171,16,29,3,0,7,18,1,0,11,69,.170,.226,.310,.536,44,53,4,2,2,2,0,2/H1,zavalse01
873,Seby Zavala,29,CHW,AL,66,176,161,15,25,3,0,7,16,1,0,10,68,.155,.207,.304,.511,37,49,4,1,2,2,0,2/H,zavalse01
874,Seby Zavala,29,ARI,NL,5,12,10,1,4,0,0,0,2,0,0,1,1,.400,.500,.400,.900,152,4,0,1,0,0,0,/21,zavalse01
875,Mike Zunino,32,CLE,AL,42,140,124,11,22,7,0,3,11,0,0,15,61,.177,.271,.306,.578,62,38,3,1,0,0,0,2,zuninmi01
,LgAvg per 600 PA,,,,166,600,536,73,133,27,2,19,70,11,3,51,136,.247,.319,.413,.731,,221,11,7,1,4,1,,-9999
